0,theta,r
BATF,4.07617,42.4331
BBC3,1.32237,41.4814
BBS1,2.89145,41.4419
BBS2,2.87557,41.8245
BBS4,4.67007,41.1956
BBS5,2.88984,43.5815
BBS7,2.86211,39.8828
BBS9,2.89447,43.2246
BCAM,6.00856,40.7273
BCAN,2.02226,44.8638
BCHE,6.14712,40.8005
BCL2,1.70711,38.2278
BCL3,3.995,39.6052
BCL6,4.89458,39.0734
BCL9,3.26559,45.6037
BCO1,2.47439,49.692
BCOR,4.2082,39.9631
BDH1,0.898852,42.3179
BDH2,4.7971,44.0238
BDNF,1.16536,42.4457
BDP1,1.96178,41.9982
BET1,0.575919,39.5461
BEX1,5.13495,42.9426
BEX2,5.32385,38.7386
BEX3,4.93524,41.4273
BEX4,4.77329,46.9504
BEX5,4.278,42.974
BFAR,1.63345,43.8558
BHMT,4.50596,45.4436
BIN1,1.4441,41.1539
BIN2,5.93745,42.8876
BIN3,2.55259,41.0227
BIVM,4.56947,43.8364
BLID,1.15012,58.1376
BLMH,2.84635,40.1165
BLNK,1.54738,42.4313
BMI1,4.34907,40.5714
BMP1,5.46773,40.2395
BMP2,0.94356,41.3652
BMP3,5.96675,48.3568
BMP4,6.21892,41.8457
BMP5,0.942729,44.1932
BMP6,0.857667,44.3784
BMP7,6.12441,39.5822
BMS1,3.74124,43.3106
BMT2,4.405,42.1052
BNC1,5.31362,46.6898
BNC2,4.0916,46.157
BOD1,3.80713,42.5903
BOLL,4.85042,41.0243
BOP1,3.31629,41.4233
BORA,6.18233,41.2613
BPGM,3.28654,42.9034
BPHL,2.87983,44.3697
BPTF,4.39005,41.4527
BPY2,2.95583,46.7884
BRAF,1.71757,39.5744
BRAP,5.59092,41.434
BRD1,4.76451,41.6729
BRD2,4.20434,40.9788
BRD3,4.27235,42.2011
BRD4,4.1526,40.9798
BRD7,4.21914,40.9836
BRD8,4.27382,41.5275
BRD9,4.22682,43.887
BRDT,4.56655,58.593
BRF1,3.59305,42.672
BRF2,1.30411,39.299
BRI3,0.523346,48.4835
BRK1,3.46663,41.1474
BROX,1.93971,43.6864
BSND,0.636573,41.0694
BST1,1.50822,47.1094
BST2,1.94872,44.0924
BTF3,3.21965,40.6125
BTG1,3.72132,42.9663
BTG2,3.1199,42.794
BTG3,3.11104,44.0697
BTG4,0.797583,58.0502
BTLA,2.08975,46.7409
BTRC,3.08711,37.5589
BUB1,3.05616,37.9483
BUB3,2.86386,40.3635
BVES,5.68998,46.8595
BYSL,5.15719,36.9642
BZW1,0.83937,40.4821
BZW2,0.838427,39.8191
C1QA,6.22235,42.0475
C1QB,6.06746,41.9121
C1QC,6.22271,44.5928
C1RL,6.24578,46.2484
CA10,5.85335,40.9949
CA11,6.10055,44.3086
CA12,1.4457,43.1038
CA13,5.13606,47.3482
CA14,1.06095,39.9204
CA5A,1.29223,46.663
CA5B,1.93852,46.8836
CALR,2.08086,38.3149
CALU,2.5572,38.4356
CALY,1.20522,46.0924
CAMP,1.74175,44.1904
CANX,0.100987,37.0718
CAP1,2.59322,40.6076
CAP2,2.5901,41.8509
CAPG,2.23842,41.5621
CAPS,2.67061,58.9441
CARF,4.94648,48.4842
CARS,2.66285,42.5992
CASK,6.0002,39.2921
CASR,1.7324,43.2865
CAST,2.94103,40.6923
CAV1,1.65151,37.5567
CAV2,1.4734,42.8165
CAV3,1.1269,39.7139
CBFB,2.0215,42.7307
CBLB,1.54017,40.2583
CBLC,1.51021,41.1511
CBR1,2.19115,40.8628
CBR3,2.94587,42.9507
CBR4,4.70996,46.0752
CBSL,4.65238,43.2296
CBX1,4.4594,37.5697
CBX2,5.44843,41.3291
CBX3,4.463,40.1988
CBX4,4.36439,39.4544
CBX5,4.38907,39.1087
CBX6,0.158373,42.1685
CBX7,4.09886,41.3764
CBX8,4.78036,37.7439
CBY1,4.78279,41.7649
CCIN,2.40082,48.3588
CCL1,0.782766,46.4623
CCL2,0.783497,41.2626
CCL3,0.754275,42.9714
CCL4,0.775552,40.5945
CCL5,0.748433,41.3408
CCL7,0.785234,42.3143
CCL8,0.785243,43.7662
CCM2,2.95122,42.4077
CCNC,3.82334,38.2578
CCNF,3.9658,45.8382
CCNH,4.42377,39.8497
CCNI,3.95533,45.4366
