"DRH ID code","Outcome","MolecularWeight","MonoisotopicMass","ExactMass","XLogP","TPSA","Complexity","Charge","HBondDonorCount","HBondAcceptorCount","RotatableBondCount","HeavyAtomCount","IsotopeAtomCount","AtomStereoCount","DefinedAtomStereoCount","UndefinedAtomStereoCount","BondStereoCount","DefinedBondStereoCount","UndefinedBondStereoCount","CovalentUnitCount","Volume3D","XStericQuadrupole3D","YStericQuadrupole3D","ZStericQuadrupole3D","FeatureCount3D","FeatureAcceptorCount3D","FeatureDonorCount3D","FeatureAnionCount3D","FeatureCationCount3D","FeatureRingCount3D","FeatureHydrophobeCount3D","ConformerModelRMSD3D","EffectiveRotorCount3D","ConformerCount3D"
"BRD-K53814070","No-Effect","323.4","323.11037616","323.11037616","1.5","70.7","482","0","1","6","2","22","0","1","1","0","0","0","0","1","236.3","9.44","2.43","1.17","8","3","1","0","1","3","0","0.6","3.4","10"
"BRD-K00005241","No-Effect","510.4","509.08627","509.08627","4.1","86.4","746","0","3","5","5","33","0","0","0","0","0","0","0","1","357.9","19.43","5.62","1.87","11","2","3","0","1","4","1","1","7","10"
"BRD-K00003506","No-Effect","401.5","401.19640838","401.19640838","0.5","78.1","886","0","1","6","2","30","0","0","0","0","0","0","0","1","309.7","24.52","2.51","0.8","11","2","1","0","3","5","0","0.8","3.4","10"
"BRD-K05185389","No-Effect","283.11","283.00107569","283.00107569","-3.1","148","339","0","5","8","4","17","0","0","0","0","0","0","0","1","187.5","6.24","2.14","1.22","12","8","1","2","0","1","0","0.6","4","8"
"BRD-K00003471","No-Effect","358.4","358.18050415","358.18050415","3.1","67.4","439","0","1","6","6","26","0","2","2","0","0","0","0","1","277.9","20.38","4.6","1.18","7","2","1","0","1","3","0","1","8.2","10"
"BRD-K53857191","No-Effect","410.5","410.21180428","410.21180428","2.7","61.9","731","0","0","6","4","30","0","0","0","0","0","0","0","1","317","29.28","2.4","0.94","8","2","0","0","1","5","0","0.8","6","10"
"BRD-K00317371","No-Effect","292.4","292.02278659","292.02278659","2","110","274","0","2","5","4","19","0","0","0","0","0","0","0","1","215.6","13.66","2.81","0.71","8","3","2","0","0","3","0","0.6","4","10"
"BRD-K40887525","No-Effect","477.6","477.16863993","477.16863993","5.2","61.2","877","0","0","6","5","34","0","0","0","0","0","0","0","1","369.4","23.3","4.65","1.81","7","1","0","0","1","5","0","0.8","6","10"
"BRD-K14003026","No-Effect","287.35","287.15214353","287.15214353","2.3","72.7","284","0","4","4","6","21","0","2","2","0","0","0","0","1","232.1","15.6","2.76","1.11","8","1","4","0","1","2","0","0.8","6","10"
"BRD-K51485625","No-Effect","720.9","720.312761","720.312761","6","202","1040","0","4","9","18","50","0","4","4","0","0","0","0","1","","","","","","","","","","","","","","0"
"BRD-K79966802","No-Effect","162.23","162.115698455","162.115698455","1.1","24.9","132","0","1","2","4","12","0","0","0","0","1","1","0","1","138.4","10.51","1.2","0.74","4","1","1","0","1","1","0","0.6","4","10"
"BRD-K37130656","No-Effect","435.9","435.0655696","435.0655696","2.5","116","645","0","1","6","5","29","0","1","1","0","0","0","0","1","312.2","32.19","1.72","0.96","9","4","1","0","0","4","0","1","7.8","10"
"BRD-K10706131","No-Effect","250.34","250.168127949","250.168127949","2.3","32.8","269","0","0","3","5","18","0","1","1","0","0","0","0","1","205.7","9.3","2.31","1.43","3","1","0","0","1","1","0","0.8","6","10"
"BRD-K75699339","No-Effect","269.34","269.16404563","269.16404563","1.7","49.7","309","0","1","3","5","20","0","0","0","0","0","0","0","1","216.5","8.35","4.41","1.09","8","0","1","0","4","3","0","0.8","5","10"
"BRD-K19333160","No-Effect","326.4","326.08374688","326.08374688","2","115","392","0","3","5","4","23","0","0","0","0","0","0","0","1","248.4","17.95","3.06","1.1","8","2","3","0","0","3","0","0.8","6","10"
"BRD-K28773847","No-Effect","214.26","214.110613074","214.110613074","1.7","32.7","324","0","0","2","0","16","0","0","0","0","0","0","0","1","168.9","6.75","2.09","0.76","4","1","0","0","0","3","0","0.6","1","2"
"BRD-K00010386","No-Effect","437.4","436.1432815","436.1432815","2.5","84.5","563","0","2","6","3","29","0","2","2","0","0","0","0","1","320.9","20.18","1.78","1.55","11","3","2","0","2","4","0","0.8","4.8","10"
"BRD-K41415459","No-Effect","379.5","379.22597718","379.22597718","2.5","44.8","492","0","1","4","7","28","0","2","2","0","0","0","0","1","308.7","27.15","4.79","1.03","8","2","1","0","2","3","0","1","9.8","10"
