broad_id,InChIKey,Target,TTD Target
BRD-K49738308,QYPPJABKJHAVHS-UHFFFAOYSA-N,"ADRA2C, ASIC3, CACNA1B, CHRNA1, GRIN1, KCNJ1, NISCH",
BRD-A18074780,SHXVJSFOJHMEEQ-AXTSPUMRSA-N,NISCH,
BRD-K70262971,LHUPKWKWYWOMSK-UHFFFAOYSA-N,"RXRA, RXRB, RXRG",
BRD-K32533226,PNAWUIKCVQSLFG-UHFFFAOYSA-N,RARA,"CYP3A4, CYP2D6, CYP2C9, RARA"
BRD-K84698278,YJYPHIXNFHFHND-UHFFFAOYSA-N,"HTR2A, HTR2B, HTR2C, MTNR1A, MTNR1B","ABCC4, MTNR1B, ABCC2, ABCB11, HTR2C, MTNR1A"
BRD-K91495480,UKMSUNONTOPOIO-UHFFFAOYSA-N,,
BRD-K10852420,OZCQEUZTOAAWDK-UHFFFAOYSA-N,FFAR4,
BRD-A64808605,HSVZQQYIMKLNLN-GOSISDBHSA-N,ADRA1B,
BRD-K59339270,AQFFXPQJLZFABJ-UHFFFAOYSA-N,"PTGDR, PTGER1, PTGER2, PTGER3","PTGER3, PTGER2, PTGIR, PTGDR, PTGER1, PTGER4"
BRD-K89899948,WJBSSBFGPKTMQQ-UHFFFAOYSA-N,CBFB,
BRD-K85139301,XNFHHOXCDUAYSR-SFHVURJKSA-N,TNK2,
BRD-K00005347,CJDRUOGAGYHKKD-BDXZSHBPSA-N,,
BRD-K76677554,YGHLYBIUVOLKCV-SMDDNHRTSA-N,"DRD2, DRD3, DRD4",
BRD-K09143580,IYAYHZZWYNXHEQ-UHFFFAOYSA-N,SIRT2,
BRD-K54907283,HMMGKOVEOFBCAU-BCDBGHSCSA-N,ALOX5,"PREP, ALOX5, PIN1, PTGES, PTGS2"
BRD-K26807903,GFGSZUNNBQXGMK-UHFFFAOYSA-N,,
BRD-K44731351,ZVBTZTQYHOXIBC-UHFFFAOYSA-N,MAPK14,
BRD-K51784806,FHHHOYXPRDYHEZ-COXVUDFISA-N,ACE,
BRD-K80403280,BHAYDBSYOBONRV-IUYQGCFVSA-N,,
BRD-K96029467,LYLFQLCLUXOFOL-UHFFFAOYSA-N,,
BRD-A33317514,QNAYBMKLOCPYGJ-UWTATZPHSA-N,,
BRD-K00004718,MLFKVJCWGUZWNV-REOHCLBHSA-N,,
BRD-K53731810,PXOYOCNNSUAQNS-AGNJHWRGSA-N,STAT3,
BRD-K01826783,FZSPJBYOKQPKCD-SECBINFHSA-N,SLC6A4,
BRD-K42140276,QLGKMLRGKPKGKI-QWQCQAQZSA-N,GNRH1,
BRD-K79131256,HXHWSAZORRCQMX-UHFFFAOYSA-N,"TUBA1A, TUBB, TUBB4B","ABCC4, CYP3A4, ABCC2, CYP2D6, ABCB11, CYP2C9"
BRD-A67060370,VXTGHWHFYNYFFV-LJQANCHMSA-N,,
BRD-K01825118,NDAUXUAQIAJITI-GFCCVEGCSA-N,ADRB2,
BRD-K55991142,MWTBKTRZPHJQLH-UHFFFAOYSA-N,HRH1,
BRD-K47492008,ARHWPKZXBHOEEE-UHFFFAOYSA-N,PTGS1,
BRD-A17407635,DJHCCTTVDRAMEH-FQEREKBASA-N,"CYP3A4, NR3C1, SERPINA6",
BRD-A84907376,MUQUYTSLDVKIOF-JGNNFNAWSA-N,"CHRM1, CHRM2, CHRM3, CHRM4, CHRNA7",
BRD-K06890060,NMKJFZCBCIUYHI-UHFFFAOYSA-N,ALDH2,
BRD-K68928792,OBMJQRLIQQTJLR-USGQOSEYSA-N,TOP2A,
BRD-K11267252,KDGFLJKFZUIJMX-UHFFFAOYSA-N,"ALK, MET","KCNH2, KDR, SRPK1, ALK, ROS1, RET, KIT, MET"
BRD-K75527158,OGSPWJRAVKPPFI-UHFFFAOYSA-N,"ATP6V1A, FDPS, PTPN4, PTPRE, PTPRS",
BRD-A42335949,LFVVNPBBFUSSHL-SZPZYZBQSA-N,PTPMT1,
BRD-K49522529,OFHCOWSQAMBJIW-AVJTYSNKSA-N,"CYP27B1, VDR",
BRD-K51751936,QRJOQYLXZPQQMX-FWROMSNXSA-N,,
BRD-K01826519,WNMJYKCGWZFFKR-CQSZACIVSA-N,"ADRA1A, ADRA1B, ADRA1D, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A",
BRD-K00005348,AHBKIEXBQNRDNL-FVCOMRFXSA-N,,
BRD-K60102752,UMJHTFHIQDEGKB-UHFFFAOYSA-N,,
BRD-K01827280,ZZHLYYDVIOPZBE-AWEZNQCLSA-N,HRH1,
BRD-K00004709,OXTYVEUAQHPPMV-UHFFFAOYSA-N,,
BRD-K75295174,ZLHFILGSQDJULK-UHFFFAOYSA-N,AURKA,"GABRA1, LCK, AURKB, AURKA"
BRD-K30020243,UXOWGYHJODZGMF-QORCZRPOSA-N,REN,
BRD-K00003135,OLROWHGDTNFZBH-XEMWPYQTSA-N,,
BRD-K00003607,KSEYRUGYKHXGFW-LLVKDONJSA-N,,
BRD-K73191876,RGCKGOZRHPZPFP-UHFFFAOYSA-N,,
BRD-A96407378,POJWUDADGALRAB-SFOWXEAESA-N,,
BRD-A60402836,JDLKFOPOAOFWQN-SECBINFHSA-N,"TRPA1, TRPV1",
BRD-K86307448,OFCNXPDARWKPPY-UHFFFAOYSA-N,XDH,"ABCC4, ABCC2, XDH, ABCB11"
BRD-K00004728,KFQUAMTWOJHPEJ-DAGMQNCNSA-N,,
BRD-K12872829,ATXHVCQZZJYMCF-XUDSTZEESA-N,"ESR1, PGR, SLC6A9",
BRD-K33219225,ZOJBYZNEUISWFT-UHFFFAOYSA-N,TRPA1,"TRPV1, TRPA1, MIF"
BRD-K89634775,HTKFORQRBXIQHD-UHFFFAOYSA-N,,
